nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
  920;Fletcher Hotel Paleis Stadhouderlijk Hof;Hofplein 29, 8911 HJ Leeuwarden Nederland;8911 HJ;Leeuwarden;NA;Paleiselijk verblijf !;Fletcher Hotel-Paleis Stadhouderlijk Hof staat garant voor een tot in de puntjes verzorgd verwenverblijf. Van de vriendelijke ontvangst, de weldadig ruime kamers, het overheerlijke van goede uitleg voorziene diner, het degelijke ontbijtbuffet met vers fruit tot de hartelijke.;5;2018
 7124;Zee van Tijd;Rixt van Doniastraat 18, 9163 GR Nes, Ameland Nederland;9163 GR;Nes, Ameland;  8;Voors en tegens;De Pluspunten: Buiten het hoogseizoen is Nes een leuk stadje op Ameland en Zee van Tijd ligt midden in het midden. Dit boetiekhotel is nog steeds vrij nieuw en het personeel, hoewel niet altijd professioneel, is vriendelijk en relaxed. De bedden zijn comfortabel. Het ontbijt is.;3;2018
 1321;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Geweldig hotel;Prachtig hotel, nabij de snelweg maar ook dichtbij het centrum van Sneek. Prima bedden, complete kamers. Wij hebben gebruik gemaakt van een arrangement, is erg goed bevallen. Heerlijk uitgebreid ontbijtbuffet.;5;2016
10017;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;leuk kamer maar meer niet;Wij verblijf net naar de kerst in hotel Schylge heel leuk kammer, leuk bubbelbad en leuk ingericht met slaap kamer in toren maar allen jammer van de vies balkon en wit tabijt in de kamer. En er waren 2 gordijn stuk. Maar de service is echt de min punt hier in dit hotel. Ombijt.;2;2014
 7667;Vakantiepark It Wiid;De Stripe 14, 9264 TW Earnewald Nederland;9264 TW;Earnewald;NA;Rustig park;Zeer rustig park. Wij hadden een 10 persoons huisje gereserveerd maar om een of andere reden werden wij om geboekt naar een 14 persoons huisje. Aan het water met een 14 persoons sloep die we er optionee bij konden huren. Het huisje was van alle gemakken voorzien en voor elke.;4;2017
 1263;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Super mooi hotel met ruime kamers.;Hotel sneek is een geweldig hotel, bijna ieder jaar gaan we er wel naartoe. We combineren dan de zondagsbrunch (die zeer uitgebreid is) met een overnachting. Het hotel is erg ruim opgezet, het is sowieso een groot hotel, maar de kamers zijn ook enorm ruim en erg mooi zwart/blauw.;5;2015
 4936;Fletcher Hotel-Restaurant Heidehof;Golflaan 1, 8445 SR Heerenveen Nederland;8445 SR;Heerenveen; 42;Prima Studievakantie!;Hele goede service. Kamer was prima en netjes bij aankomst. Locatie lag centraal. Heerlijke bedden! Ook als je 'niet storen' had opgehangen, lieten de schoonmakers een handdoekenpakketje achter. Toppers! En de bedden lagen heerlijk!  Wel kwam er (aan de kant waar ik sliep) een.;4;2019
 5885;Hotel Graaf Bernstorff;Reeweg 1, 9166 PW, Schiermonnikoog Nederland;9166 PW;NA; 18;Veel lawaaioverlast;Suite in het nieuwe bijgebouw geboekt. De kamer is zeer netjes en van alle gemakken voorzien. Personeel vriendelijk en behulpzaam. Ontbijt is goed, helaas in een wat te krappe ontbijtzaal: het is gewoonweg vreselijk druk. Helaas twee nachten behoorlijk veel geluidsoverlast gehad.;2;2019
  707;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Prima hotel;Goed hotel. Tijdens de Reuzen dagen daar geweest en toen was het wel erg druk, maar daar kan het hotel weinig aan doen. Veel niet-gasten die vanwege de motregen binnen in de hal wachtten op de route.   Kamer was prima, mooi uitzicht (city view kamer) en een fijn, zacht bed. We.;3;2018
11806;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;gastvrij hotel met vriendelijk personeel;prima hotel met goed ontbijt. jammer dat het diner dat bij het arrangement was inbegrepen niet echt geschikt was voor kinderen (12 jr). mijn dochter had het menu met kalfswang en dit zag er echt niet lekker uit, heel veel zenen en vetranden eromheen en ertussendoor. we hebben.;4;2015
 7647;Lytshuis Zilver Bed & Breakfast;Munewei 1, 9136 DJ Moddergat Nederland;9136 DJ;Moddergat;NA;Perfecte B&B!;Ik zou zeker niet aanraden dit prachtig gerenoveerde B&B: De kamer was gezellig en schoon, de eigenaar is zeer gastvrij, ontbijt was heerlijk, ... De ligging is rustig en landelijk. Er is genoeg te doen in de regio: fietsen, wandelen en een bezoek aan de charmante dorpjes.;5;2016
  849;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Goed hotel met ruime kamer.;Het hotel heeft een redelijke prijs/kwaliteit verhouding. Het ontbijt was goed, alleen was niet alles voldoende aanwezig.  Parkeren was gratis voor de gasten, alleen moest ik dit zelf vragen. Het zou fijn zijn als de receptioniste dat zelf aangeeft.;3;2018
10252;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Prachtige locatie, top personeel;Gedurende 5 dagen verbleven wij in dit hotel, in een familiekamer. De kamer is een beetje steriel en ongezellig met de pantry, het systeemplafond en de blauwe zithoek, maar zeker praktisch met een kind. Mooi uitzicht over zee en oude haven. Restaurant is (ver) boven gemiddeld,.;4;2017
 8625;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;In een woord GEWELDIG;Goede service. Er was rekening gehouden met minder valide. Fijne info. Mooie kamers. Kamers aan straatkant wat gehorig. Het driegangen diner was super. Nog nooit hebben we in een restaurant zo heerlijk gegeten.;5;2019
 5559;Van der Valk Leeuwarden;Lynbaan 35, 8941 BR Leeuwarden Nederland;8941 BR;Leeuwarden;117;Fantastisch hotel;Voor het EK korfbal verbleven we hier 1,5 week. Fantastisch ruime kamers, personeel erg vriendelijk, werd door de manager goed meegedacht - niets was te gek. Lunch buffet in het weekend is een aanrader.;5;2018
 6556;Strandhotel Noderstraun;Badweg 32, 9166 NK, Schiermonnikoog Nederland;9166 NK;NA;NA;Genieten op een prachtige locatie;"Het eten is hier echt heel goed; mooi geserveerd, lekker, ruime porties en een mooi, rustig restaurant met uitzicht op zee.. De bediening is erg vriendelijk, ze hebben plezier in hun werk en besteden veel aandacht aan hun gasten. Het is een beetje jammer dat dit restaurant niet.";5;2016
10736;Golden Tulip Tjaarda Oranjewoud;Koningin Julianaweg 98, 8453 WH Oranjewoud Nederland;8453 WH;Oranjewoud;NA;Kon beter ....;Ik verbleef twee nachten een week geleden, zeer rustige plek en goed ontbijt en het restaurant in het algemeen, maar ik de kamer begint op de krachtige geur van sigarettenrook ash en vervolgens naar het ontbreken van airconditioning en het verwarmde haten was er alleen als.;3;2012
 8997;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Voor herhaling vatbaar;Hotel dat prijs stelt op gasten blijkens de vriendelijkheid van het behulpzame personeel. Op kamers niets aan te merken. Uitrusting badkamer uitstekend, incl. verlichting. TV hangt op goede kijkafstand. Voortreffelijk uitgebreid ontbijt. Leestafel rijkelijk voorzien van.;5;2014
 4456;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Fantastisch  !;Wij hebben nooit eerder een arragement geboekt,maar dit keer eens wel. Hotel Seeduyn op Vieland. De ontvangst was uiterst vriedelijk en behulpzaam,en tot onze grote verrassing kregen we een kamer met zeezicht.terwijl die niet geboekt was.(207) Prachtig uitzicht en een groots.;4;2011
 7823;Hotel Restaurant Het Witte Huis;Van Harinxmaweg 20 9246 TL, 9246 TL Olterterp Nederland;9246 TL;Olterterp;  8;Het is het beste na een lange wandeling;We kwamen in deze plaats met enkele vrienden na een heel lange wandeling in het bos de plaats hebben een echt mooi en rustgevend uitzicht. Het bier is echt goed. Het restaurant bieden ook een bier gemaakt door gevangenen (zoals een lokale mannen zei) Ze hebben ook een erg mooi.;4;2016
 3151;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;A very pleasant stay in Beetsterzwaag;De kamers zijn comfortabel en rustig. De Junior suite is heerlijk ruim. De bedden zijn uitstekend. De staf is uiterst vriendelijk en behulpzaam. Het ontbijt is geweldig (met champagne) maar vereist wel enig geduld omdat het geen ontbijtbuffet is. De kinderen vonden het zwembad.;4;2016
 2465;B&B De Dream;Zenegroen 80, 8935 KM Leeuwarden Nederland;8935 KM;Leeuwarden;  5;Zeer goede accommodatie;We verbleven voor 3 nachten na het boeken van een airbnb in leeurwarden die bleek te zijn in een ongeschikt staat om zelfs een dier te leven. Ten eerste moet ik het Belgische stel bedanken dat naar een andere kamer is verhuisd, zodat wij met z'n drieën konden blijven. De dame die de be and be bezit is zeer gastvrij net als de andere personeelsleden. De kamer was prachtig met een zeer mooie badkamer aan de overkant van de gang was het ontbijt geweldig met een mooie gevarieerde selectie. Als je Leeuwarden probeert te blijven, zul je geen spijt hëben van je keuze..;5;2018
10366;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;JOCHEM!!!;Dit hotel is zeker goed bezig. Kijk maar naar de meeste beoordelingen. Okay: de douche geeft een teleurstellend straaltje, de mevrouw bij het ontbijt is een beetje korzelig als je je een kwartier voor einde ontbijt meldt. Maarrr: er is goed nagedacht om het de gast naar de zin.;4;2018
 4721;WestCord Hotel De Wadden;Dorpsstraat 61, 8899 AD, Vlieland Nederland;8899 AD;NA; 22;Het gezelligste hotel van Vlieland;Erg gezellig hotel midden in de dorpsstraat. De kamers zijn mooi ingericht, schoon en hebben een fijne badkamer. Uitzicht op zee is extra leuk. Inchecken gaat snel, en het vriendelijke personeel helpt je graag verder. In het visrestaurant, het praethuys (cafe) en de Zeevaert.;5;2015
 3325;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Bijzonder en uniek hotel;Een bijzondere ervaring, slapen in het oude Postkantoor van Leeuwarden. Prima ligging, vlakbij het station en het centrum. Mooie, rustige kamer. In het Grand Café is het heerlijk relaxen en het 3-gangen diner was top! Het personeel is bijzonder vriendelijk en behulpzaam. Al met.;4;2019
 5640;Herberg de Waard van Ternaard;de Groedse 3, 9145 RG Ternaard Nederland;9145 RG;Ternaard;NA;Sterrenmateriaal;Voortreffelijke keuken tegen schappelijke prijs. Persoonlijke en attente bediening. Na een dagje Ameland is het vlakbij Holwerd gelegen restaurant een uitgelezen plek om te dineren. Tip:neem het verrassingsmenu (35 euro).;5;2018
 5456;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Erg goed!;Netjes schoon hotel, ruime kamers en goede bedden. Erg vriendelijk personeel, van te voren gebeld of we eerder in de kamer konden zodat de baby het middagslaapje kon doen, dit was geen probleem en was prima geregeld!  Ontbijt was prima!  Mooi lokatie tussen Nes en het strand,.;4;2019
 3957;Hotel Weidumerhout;Dekemawei 9, 9024 BE Weidum Nederland;9024 BE;Weidum; 20;Pareltje;Afgelegen ligt deze fraaie oude boerderij. Heel rustig! Mooie omgeving, Midden in Friese weidegebied.  Leuke, grote kamers. We kregen van de eigenaren leuke tips voor ons bezoek aan Leeuwarden. Tevens konden we gebruik maken van de kano's. Hele mooie kanotocht gemaakt vanuit de.;5;2018
 5269;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Prima hotel met heerlijk eten;tegen het centrum van leeuwarden aan, alles op loopafstand, kan je in dit hotel genieten van lekker eten en heerlijke bedden in schone kamers. Personeel is vriendelijk en behulpvaardig. Een aanrader, veel waarde voor je geld.;4;2014
 3029;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Prachtig landelijk gelegen hotel;Goed hotel, prima kamers, uitstekend eten en prettige faciliteiten. Er zijn ruime parkeer mogelijkheden. Zwembad is heerlijk met zowel binnen als buitenbad. Er is een sauna en Turks stoombad en er is gelegenheid voor massage en schoonheidsbehandeling. Het hotel grenst aan een.;4;2018
 9156;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Een aanrader;Tegenover het station,vlakbij het centrum van de stad: een ideale ligging. Groot,comfortabel hotel, waar je zeer professioneel en gastvrij wordt ontvangen. Kamers zijn voorzien van alle comfort en ruim. In het restaurant kun je genieten van een lekkere koffie of een lekkere.;5;2016
   62;Hotel Restaurant de Vrouwe van Stavoren;Havenweg 1, 8715 EM Stavoren Nederland;8715 EM;Stavoren; 20;apart apart in het vat;in een wijnvat overnachten. apart en apart door 2 eenpersoonsbedden die redelijk hard zijn. verder netjes eenvoudig met prima douche. leuk om een keer gedaan te hebben. het ontbijt is eenvoudig maar compleet en van goede kwaliteit. de ontvangst netjes en met de juiste informatie.;4;2015
12568;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;prima;Geboekt via hotelkamerveiling. Standaardkamer had nog geen  airco,  daar werd nog aan gewerkt  en het raam kon eigenlijk niet open vanwege de herrie van  druk verkeer. Maar verder een prima hotel, goed voor doorreis of zomaar een  bezoekje aan Drachten.                          .;4;2015
10264;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Chillen op Terschelling!;Prachtig hotel op een prachtige plek! Uitzicht op de haven én op de Brandaris! Heerlijk hotel, mooie kamers, fantastisch ontbijt met veel producten van het eiland. Fietsen te huur en die staan in de kelder. Makkelijk!;5;2016
 2166;Het Vlielandhotel;Dorpsstraat 11, 8899 AA, Vlieland Nederland;8899 AA;NA; 23;Gezellige uitvalsbasis;Dit kleinschalig hotel timmert flink aan de weg. Alles is leuk opgeknapt, fijne luxe bedden en leuke accessoires op de kamers. Het enige wat nog renovatie nodig heeft zijn de badkamers, die zijn echt verouderd en op sommige onderdelen gevaarlijk. Wel is alles brandschoon!   Het.;4;2016
 3240;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Fijn hotel;Het is echt een meer dan prima hotel. Zeker het nieuwe gedeelte, ziet er mooi en hip uit. Ook is het fijn dat het boven restaurant zit, dus even koffie of een glas wijn drinken is makkelijk te doen.  Ontbijt was goed, lekker brood en genoeg keuzes.   Centrum zit echt op een.;4;2017
 8993;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;precies wat je ervan mag verwachten;Prettig hotel, goede kamers, goede bedden, goed ontbijt en goed sanitair. Vriendelijk personeel. Tegelijk word je er een beetje depri. Het is overal donker ingericht met beperkt licht, ingewikkelde lange gangen, trappen die ergens anders uitkomen dan je verwacht.... het voelt.;3;2014
11093;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Ruime kamers;Hotel heeft ruime kamers. Wij zaten op de begane grond. Enige minpuntje is dat het vr ij warm was en de kamer niet echt gekoeld kon worden. Aangezien we op de begane grond zaten kan je normaal gesproken het raam niet open laten staan. Gelukkig hadden wij de hond bij ons en was.;4;2013
11578;Hotel Posthuys Vlieland;Postweg 4, 8899 BZ, Vlieland Nederland;8899 BZ;NA; 14;Mooie plek aan de rand van de bewoonde wereld;We hebben een heerlijk verblijf gehad in het Posthuys, mijn zoon en ik. We hadden wel aangegeven dat we met zn tweeen waren ipv met zn drieen dus het was fijn geweest als het slaapbankje was opgeruimd..,,, en ik vind ook dat het personeel bij de receptie iets vlotter had gekund,.;4;2015
 1153;Fletcher Hotel Paleis Stadhouderlijk Hof;Hofplein 29, 8911 HJ Leeuwarden Nederland;8911 HJ;Leeuwarden;NA;Een appartementje op een kortingbon!;We kwamen voor 1 nachtje op een kado gekregen kortingbon. We werden vriendelijk met aandacht en met tijd te woord gestaan.  Dat was plezierig. De kamer bleek een soort van appartementje...slaapkamer, woonkamer, en badkamer. Heel vrij en geen geluiden van andere gasten.  Het.;4;2017
 3190;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Een warm welkom;We hebben zeer genoten van ons verblijf in Landgoed Lauswolt. Een hotel waar je je echt welkom voelt en als gewaardeerde gast wordt behandeld ! Behulpzaam en vriendelijk personeel. De standaard kamer is gezellig maar aan de kleine kant. Dit laatste geldt ook voor de badkamer..;5;2014
 4857;Fletcher Hotel-Restaurant Heidehof;Golflaan 1, 8445 SR Heerenveen Nederland;8445 SR;Heerenveen; 42;Even overnachten;"""Prettig hotel. Rustig gelegen aan een golfbaan. Nette kamers met goede bedden. Gezellige bar. Goed ontbijt, maar dat is met 15,3,"""" jan. 2017""";jan-17;NA
 8821;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Gastvrije beleving;Erg vriendelijke staff zowel bij de receptie, housekeeping als in het restaurant bij de ontbijtservice. Goed bed, nette frisse kamer alleen miste haakjes om handdoeken op te hangen, lekkere thee en koffie.;5;2019
 9848;Van Heeckeren Hotel;Torenstraat 22, 9163 HE Nes, Ameland Nederland;9163 HE;Nes, Ameland; 34;Fantastisch hotel, vriendelijk personeel, heerlijk ontbijt;Via Travelbird een arrangement geboekt, zeker geen spijt van, een upgrade naar een luxere kamer, in het nieuwe gedeelte, echt prachtig, een glazen douche-cabine naast het bed met 2 regen en gewone douches, een Jura koffieapparaat op de kamer met echte bonen koffie,echt.;5;2015
10497;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;Hoewel iets gedateerd zijn de appartementen lekker ruim en schoon.;Ruime kamers voorzien van alle gemakken, inclusief een groot balkon met loungeset. De bedden zijn ok en netjes opgemaakt bij aankomst. De kamers zijn goed verduisterbaar door zowel een rolgordijn als gordijnen. De woonkamer is compleet maar het zitcomfort van de bank en stoelen.;4;2017
 9603;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Aanrader!;Het Oranje Hotel is ons heel goed bevallen. De lokatie is prima, op loopafstand van het centrum, t.o. het station. Ontvangst heel vriendelijk en de service heel goed. Ook het diner in het restaurant is ons goed bevallen, ook hier weer een zeer vriendelijke bediening. Kortom, als.;4;2015
12339;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Heel vriendelijk personeel. Stonden echt voor klaar.;Een dikke 10. Goede kamers met koffie faciliteiten. Goede douche. En heel  hulpvaardig personeel. Alles dus helemaal oké. IK kan wel maar opnoemen, het was gewoon  Top. Alleen het stadje Drachten viel ons wat tegen. Geen oud stadje of zo.;5;2016
 5620;Herberg de Waard van Ternaard;de Groedse 3, 9145 RG Ternaard Nederland;9145 RG;Ternaard;NA;Top keuken zeer exclusief;Hier kun je geweldig up market eten, ze werken met keuze menu's en wij zijn er nog NOOIT ontevreden weg gegaan. Het eten is voortreffelijk, maar dan echt goed !!, de wijnen zijn superb ! Daar hebben ze bij de waard echt verstand van Voor ons een absolute topper, een 10 +,.;5;2015
 3701;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Absoluut een must see;Alleen al voor de prachtige entourage is het grand café een bezoek waard. Het plafond en de centrale bar geven deze locatie een trendy uitstraling. Eten was prima en de bediening zeer gastvrij en enthousiast! Als aperitief een heerlijke gin tonic met Boomsma gin! Aanrader!!;4;2017
 3498;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Super hotel, en zeer goed restaurant.;Hotel is dik in orde, zoals het hoort te zijn. Goed verzorgt ontbijt. We zijn ook een keer 's avonds in het restaurant gaan eten, en 's middags een kleine lunch genomen. Alles tip top in orde. Alleen spijtig dat de kaart voor diner op het terras heel beperkt is. Als men binnen.;4;2016
 9358;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Zeer uitstekend hotel met ideale ligging;Uitstekend hotel,en een zeer uitgebreid en gezond ontbijt.Ligging is ideaal,vlak bij het station,voor het OV, en zeer dicht bij het zeer gezellige centrum van Leeuwarden.Direct om de hoek liggen de gezellige bars en restaurants.En direct ook in het centrum een zeer groot aanbod.;5;2016
 6401;Campanile Leeuwarden;Wergeasterdyk 1, 9084 AS Goutum Nederland;9084 AS;Goutum; 49;Goed hotel voor het geld;"""Ik verblijf er met mijn vriendje 5 nachten tijdens een zakenreis. Kamer was schoon en het bed was erg comfortabel. We hoorden veel lawaai van buren, behalve van één dag, was een enorme familie had een """"party"""" op de hal die was heel vervelend.  Personeel was aardig. Kan beter.""";4;2015
10922;Stayokay Terschelling;'t Land 2, 8881 GA West-Terschelling, Terschelling Nederland;8881 GA;West-Terschelling, Terschelling; 35;Het mooiste punt van Hanskedûne op Dellewal, de baai en de Waddenzee van Terschelling West 't Land;Een oord waar bijna iedereen welkom is om een bezoek aan te brengen. Bedenke wel dat de reis van en naar je vertrekpunt meestal een lange is, vooral vanwege de afvaarten van de boot tussen Harlingen Doeksen Terminal en de haven van Terschelling. Het weer kan zeer wisselend zijn..;5;2018
 5769;Hotel & Restaurant Lunia;Molenhoek 2, 8421 PG Oldeberkoop Nederland;8421 PG;Oldeberkoop; 18;Smakelijk, snel en verrassend;Heerlijk gegeten, zeer gastvrije ontvangst.  Het is gelijk duidelijk, de snelheid zit er in.   Wij nemen het verrassingsmenu bestaande uit 4 gangen. Daarbij een wijnarrangement. Eén van ons beiden is de Bob. Op initiatief van de bediening wordt één wijnarrangement omgezet in een.;5;2018
 4410;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Het ontbijt was elke ochtend Chaos!!;De kamer was oké elke ochtend werd alles aangevuld zoals koffie en thee daarnaast werd de kamer opgeruimd.Tijdens het ontbijt was het elke ochtend Chaos niet voldoende van alles niks was voldoende aangevuld van bestek tot servies, personeel te weinig men kon de grote stroom.;3;2017
 9222;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Eerste keer naar Leeuwarden;We hebben genoten van ons verblijf. De kamer was schoon en comfortabel. Personeel was vriendelijk en zeer behulpzaam met onze vragen. We zouden hier zeker weer verblijven. Ontbijt was erg goed. Goede keuze van voedingsmiddelen. Ik zou graag hebben gehad een koelkastje in de.;4;2017
10236;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Heerlijk weekend;Heerlijk verblijf gehad in een prachtig hotel met prima voorzieningen. Kamers zien er goed uit, ontbijt is zeer goed, personeel altijd behulpzaam en vriendelijk. Kortom een hotel waar wij graag komen en regelmatig terugkeren, echt een aanrader.;5;2019
 8156;Landal Schuttersbos;Duinweg Midsland 93, 8891 HR Midsland, Terschelling Nederland;8891 HR;Midsland, Terschelling;NA;Sfeervol huisje in Terschelling;Perfecte uitvalbasis om Terschelling te ontdekken. Om daarna te ontspannen in deze zeer smaakvolle en luxe bungalow (met sauna). Dit huisje, met rieten dak, is van alle gemakken voorzien. Alleen jammer dat er geen open haard in zat, maar een gas haard (maar daar kan ik mij wel.;5;2017
11289;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;gezellig hotel;prima, ik weet niet wat ik nog aan toe moet voegen. Goed is goed. Het eten was buitengewoon en de bediening in het restaurant was super vriendelijk, als je iets vroeg over het eten  gingen ze het vragen aan de kok;4;2019
   90;Hotel Restaurant de Vrouwe van Stavoren;Havenweg 1, 8715 EM Stavoren Nederland;8715 EM;Stavoren; 20;Slapen in een wijnvat;Wil je een aparte slaapplaats ? Dit is een echte aanrader, slapen in een wijnvat, verder is er een zitkamer en een luxe badkamer met douche en ligbad. Wij sliepen in een wijnvat van 23.000 liter maar er zij er ook van 15.000 liter;5;2016
 5504;Van der Valk Leeuwarden;Lynbaan 35, 8941 BR Leeuwarden Nederland;8941 BR;Leeuwarden;117;Mooi hotel, prachtige kamers, goede service.;Een prachtig hotel met een goed restaurant. Natuurlijk is het restaurant wel erg groot, maar door de indeling is het toch prettig vertoeven. De bediening is geweldig vriendelijk en behulpzaam. En het eten was goed. Genoten van een heerlijke verse zeetong!! Kamer was groot,.;4;2019
 8879;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Prima;Goed hotel uitnodigend komen zeker nog een keer vriendelijk personeel ,lekker en uitgebreid ontbijt.goed dat ik mijn stoomfiets onder stroom kon zetten in de garage gaf ook een goed gevoel dat er camera's hingen voelde ik me veilig.;4;2017
11160;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Op 20 min van Leeuwarden;Dit is een oude (en kleine) vestiging van de Van der Valk-keten. Ontvangst in een jaren 80 stijl receptie, waarbij de medewerker op zijn stoel blijft zitten. Een receptie waarbij de medewerker staat komt op mij efficienter en professioneler over. De kamer is gerenoveerd. Bed en.;3;2017
 3748;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Magnifiek Hotel;Gastvrije en vriendelijke ontvangst. Voor de  persoonlijke wensen die on-line aangegeven werden, was al een oplossing op voorhand bekeken en werd direct aangeboden. Kamer en wellnes faciliteiten uit de kunst. En alsof het ontbijtbuffet al niet uitgebreid genoeg was, werden ons.;5;2014
 1549;'t Skoalhus;Eelke Meinertswei 6, 9295 KB Westergeest Nederland;9295 KB;Westergeest;  3;Goed;"""We brachten een week door in Skoalhus. Vond het ontbijt erg leuk. Kamer kon beter en was een beetje versleten en warm vooral in de zomer. Bezocht de """"Waddeneilanden"""" die heel dicht bij de be & be zijn. Reserveer een kamer beneden als je daar naartoe gaat.""";3;2018
 5510;Van der Valk Leeuwarden;Lynbaan 35, 8941 BR Leeuwarden Nederland;8941 BR;Leeuwarden;117;Eten was niet zoals we gewend zijn bij van der Valk;Het was erg druk en we moesten lang wachten tussen de eerste en tweede gang. De vis was wat droog en de varkenshaas ook. Vanwege de drukte kregen we het idee dat het te lang onder de warmte lamp heeft gestaan, jammer, geen aanrader als het druk is. Hopelijk volgende keer beter.;3;2018
 1383;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Fijn hotel;Fijn hotel, gunstig gelegen, mooie ruime kamers, luxe badkamer met groot bad en aparte douche, goede bedden, ruime keuze bij het ontbijt en grote porties bij het diner!  Zeker een hotel om terug te komen.;5;2016
13022;Badhotel Bruin;Dorpsstraat 88, 8899 AL, Vlieland Nederland;8899 AL;NA; 34;Goed hotel, wel geluidsoverlast.;Badhotel Bruin in de Dorpsstraat op Vlieland is op zich een prima hotel. Behulpzame mensen aan de receptie, een gezellige terras, een leuke spa en een heerlijk ontbijt. Let wel: de kamers aan de voorkant zijn gehorig. Je hoort de mensen in de Dorpsstraat goed, vooral in de nacht.;3;2018
